method,rate_bpp,seed,image,image_name,requested_bits,embedded_bits,capacity_limited,blind_extractable,extraction_ok,mse,psnr,ssim,correlation,payload_bits,n_changes,change_rate,embedding_efficiency,bits_per_pixel,bits_per_unit_distortion,fused_measure_1,fused_measure_2,ga_evaluations,ga_generations,ga_wall_time_s,ga_converged_at
S-UNIWARD,0.1,0,891,180.pgm,26214,26214,False,False,,0.017917633056640625,65.59799722636323,0.9999426717363479,0.9999938826106258,26214,4697,0.017917633056640625,5.581009154779647,0.09999847412109375,1463028.0638705557,0.9999365546976731,55.807402213043815,,,,
HILL,0.1,0,891,180.pgm,26214,26214,False,False,,0.0257720947265625,64.01930641920602,0.9999476610146893,0.9999912002269404,26214,6756,0.0257720947265625,3.880106571936057,0.09999847412109375,1017146.6571936057,0.999938861702201,38.7992855183632,,,,
MiPOD-lite,0.1,0,891,180.pgm,26214,26214,False,False,,0.024906158447265625,64.16773614215109,0.9999680800618438,0.9999914957709465,26214,6529,0.024906158447265625,4.0150099555827845,0.09999847412109375,1052510.7697962935,0.9999595761042447,40.14908915887136,,,,
AMDT,0.1,0,892,1800.pgm,26214,26214,False,True,True,0.048961639404296875,61.2322440981211,0.9996744729625365,0.9999806938314769,26214,12835,0.048961639404296875,2.0423841059602648,0.09999847412109375,535398.7390728476,0.9996551730786933,20.417109909742187,2267.0,95.0,9.236419124994427,70.0
LSB,0.1,0,892,1800.pgm,26214,26214,False,True,,0.050327301025390625,61.11276720381547,0.9995473912245675,0.9999801548640036,26214,13193,0.050327301025390625,1.9869627832941712,0.09999847412109375,520870.3718638672,0.9995275550706538,19.860543575869134,,,,
LSB-M,0.1,0,892,1800.pgm,26214,26214,False,True,,0.050079345703125,61.13421714774535,0.9994936797375115,0.9999802533908846,26214,13128,0.050079345703125,1.996800731261426,0.09999847412109375,523449.33089579525,0.9994739431265044,19.95780753709281,,,,
EA-LSB,0.1,0,892,1800.pgm,26214,26214,False,True,,0.04998779296875,61.14216398403229,0.9999434514191262,0.9999802889410284,26214,13104,0.04998779296875,2.0004578754578755,0.09999847412109375,524408.0293040293,0.999923741474787,20.003358461932734,,,,
PVD,0.1,0,892,1800.pgm,26214,26214,False,True,,0.3993415832519531,52.11735825437978,0.9980719819392169,0.9998426883320112,26214,13209,0.050388336181640625,1.9845559845559846,0.09999847412109375,65643.05121077519,0.9979149735709651,2.4989007291568717,,,,
GA-FT,0.1,0,892,1800.pgm,26214,26214,False,True,True,0.049922943115234375,61.147801804069076,0.9995538358619459,0.9999803139450419,26214,13087,0.049922943115234375,2.003056468250936,0.09999847412109375,525089.2348131734,0.9995341585901996,20.02153912046071,473.0,31.0,1.6031807500403374,6.0
WOW,0.1,0,892,1800.pgm,26214,26214,False,False,,0.022251129150390625,64.65728306389556,0.9999728341823351,0.9999912257039757,26214,5833,0.022251129150390625,4.4940853763072175,0.09999847412109375,1178097.5168866792,0.9999640601246716,44.939924323216516,,,,
S-UNIWARD,0.1,0,892,1800.pgm,26214,26214,False,False,,0.017688751220703125,65.65383186923768,0.9999701717395187,0.9999930248508564,26214,4637,0.017688751220703125,5.653224067284882,0.09999847412109375,1481958.7698943282,0.9999631967984317,56.53102270035111,,,,
HILL,0.1,0,892,1800.pgm,26214,26214,False,False,,0.02162933349609375,64.78037223926665,0.9999700759043023,0.9999914708217224,26214,5670,0.02162933349609375,4.623280423280423,0.09999847412109375,1211965.2232804233,0.9999615469812526,46.23173188216111,,,,
MiPOD-lite,0.1,0,892,1800.pgm,26214,26214,False,False,,0.0246124267578125,64.21925924102648,0.9999805748059069,0.9999902946675627,26214,6452,0.0246124267578125,4.062926224426534,0.09999847412109375,1065071.7321760694,0.9999708696619976,40.628698644865885,,,,
AMDT,0.1,0,893,1801.pgm,26214,26214,False,True,True,0.04883575439453125,61.243424599598,0.9994501593942059,0.9999930491203082,26214,12802,0.04883575439453125,2.0476488048742385,0.09999847412109375,536778.8483049524,0.99944321233639,20.46539927001333,2159.0,91.0,8.916733916965313,66.0
LSB,0.1,0,893,1801.pgm,26214,26214,False,True,,0.049427032470703125,61.19115824052411,0.9993234809925886,0.9999929651085078,26214,12957,0.049427032470703125,2.023153507756425,0.09999847412109375,530357.5531373003,0.9993164508603342,20.21801433158381,,,,
LSB-M,0.1,0,893,1801.pgm,26214,26214,False,True,,0.0503387451171875,61.11177975946266,0.9994333354695271,0.9999928352971706,26214,13196,0.0503387451171875,1.9865110639587753,0.09999847412109375,520751.9563504092,0.9994261748266807,19.854014487251092,,,,
EA-LSB,0.1,0,893,1801.pgm,26214,26214,False,True,,0.049900054931640625,61.14979337158442,0.9999692189259748,0.9999928974934745,26214,13081,0.049900054931640625,2.003975231251433,0.09999847412109375,525330.0830211757,0.9999621166380721,20.039298914759634,,,,
PVD,0.1,0,893,1801.pgm,26214,26214,False,True,,0.3409156799316406,52.80433384422872,0.9967248279931735,0.9999515239816623,26214,13648,0.05206298828125,1.9207209847596718,0.09999847412109375,76892.91382918014,0.9966765107421341,2.923527926148732,,,,
GA-FT,0.1,0,893,1801.pgm,26214,26214,False,True,True,0.049709320068359375,61.16642538034264,0.9993258713463433,0.9999929250877206,26214,13031,0.049709320068359375,2.011664492364362,0.09999847412109375,527345.7766863633,0.9993188012034651,20.103248240555686,457.0,31.0,1.457952208002098,6.0
WOW,0.1,0,893,1801.pgm,26214,26214,False,False,,0.021312713623046875,64.84441611459407,0.9999880365631826,0.9999969664901831,26214,5587,0.021312713623046875,4.691963486665474,0.09999847412109375,1229970.076248434,0.9999850030896569,46.91964715409612,,,,
S-UNIWARD,0.1,0,893,1801.pgm,26214,26214,False,False,,0.019542694091796875,65.22095926943231,0.9999864964439156,0.9999972184647736,26214,5123,0.019542694091796875,5.116923677532696,0.09999847412109375,1341370.840523131,0.9999837149462498,51.16918426134486,,,,
HILL,0.1,0,893,1801.pgm,26214,26214,False,False,,0.023235321044921875,64.46931683318151,0.9999858903168583,0.9999966928303134,26214,6091,0.023235321044921875,4.303726810047611,0.09999847412109375,1128196.160893121,0.9999825831938348,43.037175223898316,,,,
MiPOD-lite,0.1,0,893,1801.pgm,26214,26214,False,False,,0.022617340087890625,64.58638832474608,0.999988322581449,0.9999967807907535,26214,5929,0.022617340087890625,4.42131894079946,0.09999847412109375,1159022.2324169336,0.9999851034097945,44.213205422205625,,,,
AMDT,0.1,0,894,1802.pgm,26214,26214,False,True,True,0.048847198486328125,61.24240700015123,0.9994854033218551,0.9999903363905425,26214,12805,0.048847198486328125,2.047169074580242,0.09999847412109375,536653.089886763,0.9994757446852589,20.461270567338737,2378.0,100.0,8.892624959000386,96.0
LSB,0.1,0,894,1802.pgm,26214,26214,False,True,,0.050418853759765625,61.10487392821163,0.9992709798675771,0.9999900328363025,26214,13217,0.050418853759765625,1.9833547703714913,0.09999847412109375,519924.5529242642,0.9992610199701426,19.81919352493403,,,,
LSB-M,0.1,0,894,1802.pgm,26214,26214,False,True,,0.05078125,61.07376973872923,0.9994983674575398,0.9999899531327304,26214,13312,0.05078125,1.9692007211538463,0.09999847412109375,516214.1538461539,0.9994883256301058,19.682231643177467,,,,
EA-LSB,0.1,0,894,1802.pgm,26214,26214,False,True,,0.049961090087890625,61.14448455305305,0.9998798466459373,0.9999901154001806,26214,13097,0.049961090087890625,2.0015270672673133,0.09999847412109375,524688.3115217226,0.9998699632337857,20.01297332533844,,,,
PVD,0.1,0,894,1802.pgm,26214,26214,False,True,,0.21034622192382812,54.90145644906476,0.997248908355269,0.9999585292815579,26214,13334,0.05086517333984375,1.9659517024148792,0.09999847412109375,124623.108322301,0.9972075517265739,4.740791361052774,,,,
GA-FT,0.1,0,894,1802.pgm,26214,26214,False,True,True,0.049839019775390625,61.155108687562276,0.9992833515048151,0.9999901454529159,26214,13065,0.049839019775390625,2.0064293915040183,0.09999847412109375,525973.4264064294,0.9992735040199773,20.050023225244004,563.0,37.0,1.8471484170295298,12.0
