payload_type,variant,seed,image,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
ascii_text,cover,0,0,0.0,0.04022995370688525,0.01780475834231718,,,
ascii_text,cover,0,1,1.4600621832478588e-08,0.0,0.007903605650753338,,,
ascii_text,cover,0,2,5.309624594268073e-21,0.07321461434279733,0.08387105769291828,,,
ascii_text,cover,0,3,3.37607986769577e-91,0.10755389372325902,0.07057450628999633,,,
ascii_text,cover,0,4,3.400812610049536e-64,0.0,0.003949787491226781,,,
ascii_text,cover,0,5,1.0719656290594862e-84,0.0030101537347745435,0.0,,,
ascii_text,cover,0,6,8.435202413509356e-83,0.10836832262719738,0.0467851850008462,,,
ascii_text,cover,0,7,0.8933006816000942,0.007505896072164034,0.039928231448464545,,,
ascii_text,cover,0,8,7.677071895665625e-48,0.0,0.0,,,
ascii_text,cover,0,9,3.733534489569478e-22,0.00593783442561954,0.0,,,
ascii_text,cover,0,10,0.0,0.41467029626094876,0.22073847327209017,,,
ascii_text,cover,0,11,0.0,0.007937580280891263,0.006575236234637382,,,
ascii_text,cover,0,12,0.0,0.0,0.0,,,
ascii_text,cover,0,13,3.906484069535057e-17,0.0,0.0,,,
ascii_text,cover,0,14,8.749711751378213e-29,0.00390172924415872,0.004438234304130198,,,
ascii_text,cover,0,15,3.906484069535057e-17,0.0,0.0,,,
ascii_text,cover,0,16,8.159250511066146e-12,0.00602114395379416,0.0,,,
ascii_text,cover,0,17,0.05101594999135635,0.021654299520254307,0.005898903031078768,,,
ascii_text,cover,0,18,0.2195240920905804,0.020959373138568983,0.015691000540995904,,,
ascii_text,cover,0,19,0.0,0.03480289921311532,0.013718763942881506,,,
ascii_text,cover,0,20,0.0,0.4683281652123114,0.192461876123866,,,
ascii_text,cover,0,21,2.026826798841779e-39,0.01941539049302317,0.00026604133099672754,,,
ascii_text,cover,0,22,0.0,0.06300549627107752,0.02383397142606437,,,
ascii_text,cover,0,23,1.2215997011142896e-22,0.0,0.019271010063964228,,,
ascii_text,cover,0,24,8.662603408063465e-48,0.005130923295415994,0.0025313082822640944,,,
