variant,seed,image,rate_bpp,extraction_ok,mse,psnr,ssim,correlation,payload_bits,n_changes,change_rate,embedding_efficiency,bits_per_pixel,bits_per_unit_distortion,fused_measure_1,fused_measure_2,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
fixed_path,1,21,0.1,True,0.048969268798828125,61.23156741615976,0.9995016282232346,0.9999709304838518,26214,12837,0.048969268798828125,2.0420659032484227,0.09999847412109375,535315.3241411545,0.9994725731945128,20.410200064462284,6.223655836439527e-28,0.11450837247360876,0.1079405334103891,,,
fixed_plane,1,21,0.1,True,0.048553466796875,61.268601161810466,0.9995767219357161,0.9999711777203509,26214,12728,0.048553466796875,2.0595537397862977,0.09999847412109375,539899.6555625392,0.9995479118559057,20.58654052526356,3.4426506053936283e-28,0.10050990896156183,0.08682138415421775,,,
single_seg,1,21,0.1,True,0.049297332763671875,61.20256938494442,0.9995292574191716,0.9999707353559639,26214,12923,0.049297332763671875,2.0284763599783333,0.09999847412109375,531752.9069101602,0.9995000065512496,20.27493072176513,3.423199066161026e-25,0.1075745080799833,0.09780080167721769,,,
no_ga,1,21,0.1,True,0.08780670166015625,58.69552697092172,0.9992276733312329,0.9999478754985738,26214,13097,0.049961090087890625,2.0015270672673133,0.09999847412109375,298542.1329394387,0.9991755890869491,11.379263429733651,6.797520053115323e-25,0.07963784299376676,0.0628264018121185,,,
unconstrained,1,21,0.1,True,0.048969268798828125,61.23156741615976,0.9994625788219621,0.9999709294909964,26214,12837,0.048969268798828125,2.0420659032484227,0.09999847412109375,535315.3241411545,0.9994335239360657,20.409402640702343,1.6169129777707535e-27,0.12976880847178868,0.1166968537699605,,,
full,1,22,0.1,True,0.049106597900390625,61.21940513567238,0.9995242520151907,0.9999878802954693,26214,12873,0.049106597900390625,2.0363551619669074,0.09999847412109375,533818.287578653,0.9995121380765849,20.3539275944961,0.0,0.131970852445768,0.11550210290264173,,,
no_T1T2,1,22,0.1,True,0.048610687255859375,61.26348599712778,0.9995622413814226,0.9999880113653209,26214,12743,0.048610687255859375,2.0571294043788746,0.09999847412109375,539264.1305814957,0.9995502579948716,20.562356025410626,2.535922727792695e-175,0.14049025001169874,0.11764068685872331,,,
no_T3,1,22,0.1,True,0.048961639404296875,61.2322440981211,0.9995841759537254,0.9999879197394751,26214,12835,0.048961639404296875,2.0423841059602648,0.09999847412109375,535398.7390728476,0.9995721007164633,20.415413227130234,1.8302776936984313e-257,0.12061214585909782,0.09768983253164536,,,
no_T4,1,22,0.1,True,0.04909515380859375,61.22041735915185,0.999626642362611,0.9999878829125728,26214,12870,0.04909515380859375,2.036829836829837,0.09999847412109375,533942.7207459208,0.999614529799191,20.360757676742743,0.0,0.12259480310956443,0.09665039705841073,,,
no_decomp,1,22,0.1,True,0.0487060546875,61.25497408812918,0.9994452132970978,0.9999879830089169,26214,12768,0.0487060546875,2.0531015037593985,0.09999847412109375,538208.2406015038,0.9994332029728815,20.519691224946982,1.1631495524979173e-200,0.14818803950024584,0.12950450975458844,,,
fixed_path,1,22,0.1,True,0.0494537353515625,61.188812604594,0.999628560934304,0.9999877942386012,26214,12964,0.0494537353515625,2.022061092255477,0.09999847412109375,530071.1829682197,0.9996163597066018,20.213161909821615,0.0,0.12227069780927831,0.09547022987391733,,,
fixed_plane,1,22,0.1,True,0.048793792724609375,61.247157838839286,0.9994926761687227,0.999987967554165,26214,12791,0.048793792724609375,2.049409741224298,0.09999847412109375,537240.4672035024,0.9994806498272342,20.483766356681297,5.5911377802433524e-154,0.14526536928261718,0.12233212491630925,,,
single_seg,1,22,0.1,True,0.049037933349609375,61.22548201840693,0.9996592534558538,0.9999879015194434,26214,12855,0.049037933349609375,2.0392065344224037,0.09999847412109375,534565.7577596266,0.9996471590978127,20.385181242671102,2.111269124071371e-224,0.1292970398596702,0.10242998747289055,,,
no_ga,1,22,0.1,True,0.1060638427734375,57.875130029819715,0.9987563047588416,0.9999738296741977,26214,12368,0.04718017578125,2.1195019404915914,0.09999847412109375,247153.02891670263,0.998730166980949,9.416311354231546,2.11523503024163e-217,0.11027731459680525,0.07991203035251612,,,
unconstrained,1,22,0.1,True,0.049190521240234375,61.211989363456155,0.9995153400041625,0.9999878618728893,26214,12895,0.049190521240234375,2.0328809616130283,0.09999847412109375,532907.5468010857,0.9995032077599165,20.319020464910086,2.4731551931810676e-234,0.14390611136719045,0.12184130508466436,,,
full,1,23,0.1,True,0.048992156982421875,61.229538002656,0.9996051556953953,0.9999926081062065,26214,12843,0.048992156982421875,2.0411118897453866,0.09999847412109375,535065.2352254146,0.999597766720249,20.4032201945895,5.903806458330618e-15,0.08984749631377534,0.11189127885757885,,,
no_T1T2,1,23,0.1,True,0.0489044189453125,61.23732257636774,0.9996610553345029,0.999992621360378,26214,12820,0.0489044189453125,2.044773790951638,0.09999847412109375,536025.1806552262,0.9996536791958315,20.440968336904216,3.929034049486151e-16,0.09533517928761746,0.11291293945829091,,,
no_T3,1,23,0.1,True,0.04894256591796875,61.23393626444644,0.9996738082266783,0.9999926155589989,26214,12830,0.04894256591796875,2.0431800467653938,0.09999847412109375,535607.3901792674,0.999666426194421,20.425296619509766,9.750578240487427e-18,0.10543582882130029,0.11730278416931728,,,
no_T4,1,23,0.1,True,0.049045562744140625,61.22480638915555,0.9995843470756809,0.9999925999743783,26214,12857,0.049045562744140625,2.0388893209924555,0.09999847412109375,534482.6021622462,0.9995769501259014,20.380578674170046,3.287653074925987e-14,0.11690705740696009,0.14077687378583795,,,
no_decomp,1,23,0.1,True,0.048900604248046875,61.23766135282713,0.9995953883355315,0.9999926219203331,26214,12819,0.048900604248046875,2.0449333021296514,0.09999847412109375,536066.9955534753,0.9995880132411217,20.441220075129152,1.948032153126405e-15,0.09389513942161137,0.12244751150761769,,,
fixed_path,1,23,0.1,True,0.049343109130859375,61.1985384976701,0.9996885818617003,0.9999925550714714,26214,12935,0.049343109130859375,2.0265945110166217,0.09999847412109375,531259.5914959413,0.9996811392516575,20.25979223563869,1.7648873974020363e-15,0.08386353367987313,0.11294853768174914,,,
fixed_plane,1,23,0.1,True,0.048984527587890625,61.230214368460054,0.9996275870069479,0.9999926093163619,26214,12841,0.048984527587890625,2.0414297951872906,0.09999847412109375,535148.5722295771,0.9996201990756964,20.4068559665524,9.52881575969249e-14,0.11647987484868394,0.10783456322114289,,,
